,address_raw,address_clean,latitude,longitude,working_hours,geocoding_quality
354,ул. Юрия Гагарина  48Б,"Красноярск, улица Юрия Гагарина, 48Б",56.0273757,92.871007,9:00-20:00,"48Б, улица Юрия Гагарина, Покровка, Центральный район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660020, Россия"
355,ул. Парижской Коммуны  44Г,"Красноярск, улица Парижской Коммуны, 44Г",56.0160793,92.8816333,9:00-20:00,"44Г, улица Парижской Коммуны, Центральный район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660049, Россия"
356,Молодёжный Проспект  19,"Красноярск, Молодёжный Проспект, 19",56.1160224,92.9138547,9:00-20:00,"19, Молодёжный проспект, Солнечный микрорайон, Советский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660119, Россия"
357,Проспект 60 Лет Образования Ссср  18,"Красноярск, Проспект 60 Лет Образования Ссср, 18",56.116905,92.9280962,9:00-20:00,"18, проспект 60 лет Образования СССР, микрорайон Солнечный, Солнечный микрорайон, Советский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660119, Россия"
358,ул. Алёши Тимошенкова  127,"Красноярск, улица Алёши Тимошенкова, 127",55.9709871,92.945301,9:00-20:00,"127, улица Алёши Тимошенкова, Водников, Свердловский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
359,Солнечный Бульвар  8,"Красноярск, Солнечный Бульвар, 8",56.1202009,92.9306175,9:00-20:00,"8, Солнечный бульвар, микрорайон Солнечный, Солнечный микрорайон, Советский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660119, Россия"
360,ул. Борисевича  8,"Красноярск, улица Борисевича, 8",56.008123,93.05135,9:00-20:00,"8, улица Борисевича, Шинников, Ленинский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
361,Проспект Имени Газеты Красноярский Рабочий  48,"Красноярск, Проспект Имени Газеты Красноярский Рабочий, 48",56.0213144,93.0008505,10:00-20:00,"30А с48, проспект имени газеты Красноярский Рабочий, Каменный квартал, Ленинский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660004, Россия"
362,ул. Ленина  26,"Красноярск, улица Ленина, 26",56.0146819,92.8862329,9:00-20:00,"26, улица Ленина, Центральный район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660049, Россия"
363,ул. Королёва  10А,"Красноярск, улица Королёва, 10А",55.9914489,92.9034492,9:00-20:00,"10А, улица Королёва, Свердловский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660093, Россия"
364,ул. Елены Стасовой  50А,"Красноярск, улица Елены Стасовой, 50А",56.0209971,92.7307051,9:00-20:00,"50А, улица Елены Стасовой, Чистый микрорайон, Октябрьский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660130, Россия"
365,ул. Дмитрия Мартынова  29,"Красноярск, улица Дмитрия Мартынова, 29",56.0368287,92.8696646,9:00-20:00,"29, улица Дмитрия Мартынова, жилой район Покровский, Микрорайон ""Яблони"" (Покровский, 2-ой микрорайон), Покровка, Центральный район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660043, Россия"
366,ул. Лесников  35,"Красноярск, улица Лесников, 35",55.9824774,92.7983951,9:00-20:00,"35, улица Лесников, Свердловский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660006, Россия"
367,ул. Петра Подзолкова  12,"Красноярск, улица Петра Подзолкова, 12",56.0562675,92.8888303,9:00-20:00,"12, улица Петра Подзолкова, Советский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660020, Россия"
368,Линейная ул.  90,"Красноярск, Линейная улица, 90",56.0361898,92.8803274,9:00-20:00,"90, Линейная улица, жилой район Покровский, Покровка, Центральный район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660020, Россия"
369,Норильская ул.  4Д,"Красноярск, Норильская улица, 4Д",56.0590382,92.7236287,9:00-20:00,"4Д, Норильская улица, Мясокомбинат, Октябрьский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
370,ул. Партизана Железняка  48Ж,"Красноярск, улица Партизана Железняка, 48Ж",56.0417164,92.9347878,9:00-20:00,"48Ж, улица Партизана Железняка, Советский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660005, Россия"
371,ул. Батурина  5,"Красноярск, улица Батурина, 5",56.0372258,92.9069591,9:00-20:00,"5, улица Батурина, Взлётка, 7-ой микрорайон, Взлётка, Советский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660077, Россия"
372,ул. Тельмана  14А,"Красноярск, улица Тельмана, 14А",56.0603039,92.9755549,9:00-20:00,"14А, улица Тельмана, Зелёная роща, 2-й микрорайон, Советский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660055, Россия"
373,ул. 9 Мая  63,"Красноярск, улица 9 Мая, 63",56.0562634,92.9110185,9:00-20:00,"63, улица 9 Мая, Северный, 7-й микрорайон, Взлётка, Советский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
374,Проспект Металлургов  20А,"Красноярск, Проспект Металлургов, 20А",56.0532936,92.9534652,9:00-20:00,"20А, проспект Металлургов, Зелёная роща, 9-й микрорайон, Советский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660112, Россия"
375,ул. Ломоносова  98,"Красноярск, улица Ломоносова, 98",55.9965458,92.8133099,9:00-20:00,"98, улица Ломоносова, Железнодорожный район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
376,ул. Алёши Тимошенкова  171,"Красноярск, улица Алёши Тимошенкова, 171",55.9720086,92.9414598,9:00-20:00,"171, улица Алёши Тимошенкова, Водников, Кировский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
377,ул. Петра Словцова  16/1,"Красноярск, улица Петра Словцова, 16/1",56.0267206,92.7453719,9:00-20:00,"16/1, улица Петра Словцова, Октябрьский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
378,Джамбульская ул.  2Б,"Красноярск, Джамбульская улица, 2Б",56.0612847,92.9870284,9:00-20:00,"2Б, Джамбульская улица, Советский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660055, Россия"
379,Северный Проезд  8,"Красноярск, Северный Проезд, 8",56.0176839,92.9662718,9:00-20:00,"8, Северный проезд, Ленинский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
380,Проспект Имени Газеты Красноярский Рабочий  62,"Красноярск, Проспект Имени Газеты Красноярский Рабочий, 62",56.0123432,92.9704542,9:00-20:00,"62, проспект имени газеты Красноярский Рабочий, Ленинский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
381,Проспект Им.Газеты Красноярский Рабочий  108,"Красноярск, Проспект Имени Газеты Красноярский Рабочий, 108",56.0049482,92.9359912,9:00-20:00,"108, проспект имени газеты Красноярский Рабочий, Кировский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
382,ул. Калинина  80А,"Красноярск, улица Калинина, 80А",56.0369821,92.7912752,10:00-21:00,"80А, улица Калинина, Октябрьский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
383,ул. Копылова  76,"Красноярск, улица Копылова, 76",56.0130064,92.8059477,9:00-20:00,"76, улица Копылова, Октябрьский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660001, Россия"
384,Ботаническая ул.  1Г,"Красноярск, Ботаническая улица, 1Г",56.0409389,92.7427255,9:00-20:00,"1Г, Ботаническая улица, Октябрьский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
385,Проспект Мира  60,"Красноярск, Проспект Мира, 60",56.0127023,92.8755604,10:00-18:00,"60, проспект Мира, Центральный район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660049, Россия"
386,ул. Калинина  47И,"Красноярск, улица Калинина, 47И",56.0324601,92.8011827,9:00-20:00,"47И, улица Калинина, Железнодорожный район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660061, Россия"
387,Краснодарская ул.  3,"Красноярск, Краснодарская улица, 3",56.0461633,92.9422767,9:00-20:00,"3, Краснодарская улица, Советский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660005, Россия"
388,Россия   Красноярский   Красноярск  Россия  Красноярск  микрорайон Северный  улица Водопьянова  13,"Красноярск,        микрорайон Северный улица Водопьянова, 13",56.0584627,92.9117399,9:00-20:00,"13, улица Водопьянова, Северный, Северный, 1-ый микрорайон, Советский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660125, Россия"
389,Россия   Красноярский   Красноярск  Россия  Красноярск  проспект 60 лет Образования СССР  9/1,"Красноярск,        проспект 60 лет Образования СССР, 9/1",56.1156345,92.9293654,9:00-20:00,"9/1, проспект 60 лет Образования СССР, микрорайон Солнечный, Солнечный микрорайон, Советский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660119, Россия"
390,ул. Дмитрия Мартынова  18,"Красноярск, улица Дмитрия Мартынова, 18",56.0386915,92.8764051,9:00-20:00,"18, улица Дмитрия Мартынова, жилой район Покровский, Покровский, 3-ий микрорайон, Покровка, Центральный район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660043, Россия"
391,Ястынская ул.  11,"Красноярск, Ястынская улица, 11",56.061631,92.9450995,9:00-20:00,"11, Ястынская улица, Зелёная роща, 10-й микрорайон, Советский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660131, Россия"
392,Ботанический Бульвар  19/1,"Красноярск, Ботанический Бульвар, 19/1",56.0408648,92.7514172,9:00-20:00,"Первая верста, 19/1, Ботанический бульвар, Октябрьский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660030, Россия"
393,ул. Юности  35,"Красноярск, улица Юности, 35",56.0154015,92.9753777,9:00-20:00,"35, улица Юности, Ленинский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660014, Россия"
394,Проспект Имени Газеты Красноярский Рабочий  27С74,"Красноярск, Проспект Имени Газеты Красноярский Рабочий, 27С74",56.0215345,93.0132353,10:00-19:00,"27 с74, проспект имени газеты Красноярский Рабочий, Каменный квартал, Ленинский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660004, Россия"
395,Амурская ул.  30А/1,"Красноярск, Амурская улица, 30А/1",55.9883032,93.014853,9:00-20:00,"30А/1, Амурская улица, Черемушки, Ленинский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660046, Россия"
396,Лесопарковая ул.  33,"Красноярск, Лесопарковая улица, 33",56.019707,92.7584533,9:00-20:00,"33, Лесопарковая улица, Октябрьский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660062, Россия"
397,ул. Юшкова  18Г,"Красноярск, улица Юшкова, 18Г",56.0304224,92.766138,9:00-20:00,"18Г, улица Юшкова, Октябрьский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
